Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities,share
1993:Q3,Hispanic,2,2.4,3.2,3.3,0.5,2.8,2.7,2.3,1.5,4.7,4.7,5.5,1.4,2.7424348622393597
1993:Q3,Other,4.4,4.5,4.4,4.8,3,4.6,4,6.4,4.4,4.9,5.1,4.1,4.5,3.962290033015952
1993:Q4,White,89.3,88.6,87.5,85.9,95.4,82.9,86.8,89.3,91.5,84.2,84.6,80.9,91.2,86.76648382918899
1993:Q4,Black,4.4,4.7,5.1,6.1,1.1,9.4,6.4,2.6,2.6,6.5,5.7,9.6,3.5,6.365574461408782
1993:Q4,Hispanic,2,2.3,3.2,3.2,0.5,2.8,2.9,2.1,1.5,4.5,4.5,5.3,1.4,2.8574329125917903
1993:Q4,Other,4.4,4.4,4.3,4.7,3,4.9,4,6,4.4,4.8,5.1,4.2,4,4.010508796810445
1994:Q1,White,89.3,88.6,87.5,85.9,95.3,82.8,86.8,90,91.5,84.3,84.7,81,91.7,86.83649200904466
1994:Q1,Black,4.4,4.7,5.1,6.3,1.1,9.4,6.1,2.4,2.6,6.5,5.8,9.6,3.3,6.14010682266632
1994:Q1,Hispanic,2,2.3,3.2,3.1,0.5,2.8,3,2,1.5,4.5,4.5,5.2,1.3,2.9619067492059075
1994:Q1,Other,4.4,4.4,4.2,4.7,3.1,5.1,4.1,5.6,4.4,4.8,5,4.2,3.6,4.061494419083111
1994:Q2,White,89.3,88.6,87.6,86.1,95.3,82.6,86.9,90.7,91.5,84.4,84.8,81.1,92.2,86.89345100260753
1994:Q2,Black,4.4,4.7,5.1,6.2,1.1,9.3,6,2.3,2.6,6.5,5.9,9.6,3.3,5.970780485149469
1994:Q2,Hispanic,2,2.3,3.2,3.1,0.5,2.8,3,1.8,1.5,4.3,4.3,5.1,1.3,3.0427273939980535
1994:Q2,Other,4.4,4.4,4.1,4.6,3.1,5.3,4.1,5.3,4.4,4.7,5,4.3,3.3,4.093041118244939
1994:Q3,White,89.4,88.7,87.7,86.4,95.3,82.5,86.9,91.3,91.4,84.5,84.9,81.1,92.6,86.90622601341077
1994:Q3,Black,4.3,4.6,5.1,6,1.1,9.2,5.9,2.1,2.6,6.6,5.9,9.6,3.1,5.8676012686642816
1994:Q3,Hispanic,1.9,2.2,3.1,3.1,0.5,2.8,3.1,1.6,1.5,4.3,4.2,5,1.2,3.1068951034772407
1994:Q3,Other,4.4,4.4,4.1,4.5,3.1,5.5,4.1,4.9,4.4,4.7,5,4.4,3.1,4.119277614447711
1994:Q4,White,89.5,88.8,87.8,86.6,95.3,82.4,87,92,91.5,84.6,85,81.2,93.1,87.03429885164783
1994:Q4,Black,4.2,4.5,5.1,5.9,1.1,9.1,5.6,2,2.5,6.6,5.9,9.5,3.1,5.5751097003080945
1994:Q4,Hispanic,1.9,2.2,3,3,0.5,2.8,3.2,1.5,1.5,4.2,4.2,4.8,1.2,3.207216879843152
1994:Q4,Other,4.4,4.4,4.1,4.5,3.1,5.8,4.2,4.6,4.4,4.7,4.9,4.5,2.6,4.1833745682009145
1995:Q1,White,89.6,88.9,87.9,86.7,95.4,82.2,87,92.6,91.4,84.6,85.1,81.2,93.4,86.99440909106136
1995:Q1,Black,4.1,4.5,5.1,5.9,1.1,9,5.5,1.8,2.6,6.6,5.9,9.5,3,5.539153670157589
1995:Q1,Hispanic,1.9,2.2,3,3,0.5,2.8,3.3,1.3,1.6,4.1,4.1,4.8,1.2,3.2602469290199103
1995:Q1,Other,4.3,4.4,4,4.4,3.1,6,4.2,4.3,4.5,4.7,4.9,4.5,2.4,4.206190309761144
1995:Q2,White,89.9,89.1,88,87,95.4,82.7,86.9,93.1,91.2,84.5,85,81.2,93.6,86.91263103906127
1995:Q2,Black,4,4.4,5.1,5.6,1,8.9,5.5,1.7,2.6,6.6,6,9.4,3,5.523945868877587
1995:Q2,Hispanic,1.8,2.2,2.9,3,0.5,2.7,3.3,1.2,1.6,4.1,4.1,4.8,1.2,3.319096990875
