Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities,share
1990:Q2,Bottom50,3.7,7.4,12,19.8,1.3,4.4,5.4,1.6,5.1,30.8,26.7,45.1,20.2,5.409112021745285
1990:Q3,TopPt1,8.5,7.5,2.7,8.5,13.3,0.5,1.7,20.2,10.3,1,0.5,1.7,5.1,1.7259251339881283
1990:Q3,RemainingTop1,13.8,12.3,7.1,8.3,26.7,3.6,8.3,24.8,15.7,2.9,2.9,0.9,14.9,8.331202848496961
1990:Q3,Next9,36.9,34,29.4,22.1,39,39.4,43,34.5,37.2,16.7,18.7,7.9,30.2,43.00821360008553
1990:Q3,Next40,36.9,38.5,48.5,41.1,19.6,52.1,41.6,18.9,31.8,48.4,51.1,43.7,30.1,41.55226350456233
1990:Q3,Bottom50,3.9,7.7,12.4,19.9,1.4,4.4,5.4,1.6,5.1,31,26.8,45.8,19.7,5.382394912867044
1990:Q4,TopPt1,8.7,7.6,2.8,7.9,14.1,0.6,1.6,20.3,10.5,0.9,0.5,1.5,5.1,1.6034586499676866
1990:Q4,RemainingTop1,14,12.4,7.1,8.3,26.7,3.7,8.3,24.8,15.7,3,2.9,1,15.5,8.311724199407216
1990:Q4,Next9,36.8,33.9,29.1,22.3,38.4,39.1,43.1,34.5,37,16.6,18.5,8,30.8,43.10003788469681
1990:Q4,Next40,36.7,38.3,48.3,41.4,19.3,52.3,41.7,18.8,31.7,48.2,51,43,29.8,41.65052481447641
1990:Q4,Bottom50,3.8,7.7,12.7,20.1,1.4,4.3,5.3,1.6,5.1,31.3,27,46.5,18.9,5.3342544514518755
1991:Q1,TopPt1,8.9,7.8,2.9,7.7,15.1,0.6,1.5,20.3,10.4,0.8,0.4,1.3,5.1,1.5102238756619364
1991:Q1,RemainingTop1,14.2,12.7,7.3,8.2,26.9,3.8,8.3,24.8,15.8,3.2,2.9,1.1,16.4,8.309325863463485
1991:Q1,Next9,36.6,33.9,29.1,22.1,37.8,38.8,43,34.6,36.9,16.7,18.4,8.2,30.8,42.98809489492952
1991:Q1,Next40,36.5,38.1,48,41.6,18.8,52.5,41.9,18.7,31.8,48,51,42.3,29.5,41.87532959048541
1991:Q1,Bottom50,3.8,7.6,12.7,20.4,1.4,4.3,5.3,1.6,5.1,31.4,27.2,47.2,18.2,5.317025775459646
