Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2016:Q4,pct99to100,21321766,22375520,3386432,738341,8480826,273626,1032008,4070316,4393972,1053754,693141,124248,236365
2016:Q4,pct80to99,42306225,48383007,11135334,1721101,9895157,7960004,5174306,4532439,7964666,6076782,4744369,1079235,253178
2016:Q4,pct60to80,12824455,16109261,4581732,1121078,1411959,4299323,1661514,696040,2337615,3284807,2222223,960349,102235
2016:Q4,pct40to60,6949679,8842508,2913728,754210,590417,2066333,585801,291386,1640633,1892829,1139308,714806,38715
2016:Q4,pct20to40,3758968,4839099,1844146,514407,277293,863076,163545,238848,937784,1080130,573890,473956,32284
2016:Q4,pct00to20,2102021,2757006,1058909,313370,281601,187648,50780,369502,495196,654986,285891,283844,85251
2017:Q1,pct99to100,22069869,23139730,3437713,739576,9062678,294652,1057464,4119328,4428320,1069861,695795,115612,258454
2017:Q1,pct80to99,43254361,49355305,11325785,1742442,10350311,7968871,5378058,4521676,8068162,6100945,4767649,1076909,256387
2017:Q1,pct60to80,13208502,16494434,4648884,1132931,1533112,4352684,1728447,707862,2390513,3285932,2232119,953853,99960
2017:Q1,pct40to60,7078022,8978802,2954283,764796,612884,2090389,621314,297160,1637976,1900780,1145172,718057,37551
2017:Q1,pct20to40,3835361,4919657,1879160,520469,292805,865288,170223,240047,951665,1084296,579543,473010,31743
2017:Q1,pct00to20,2197208,2853686,1098382,317932,296523,196872,51074,370552,522351,656478,286050,293009,77419
2017:Q2,pct99to100,22632637,23723517,3487233,732285,9372695,315378,1069968,4360909,4385049,1090880,699498,109365,282017
2017:Q2,pct80to99,43923012,50068432,11526667,1757307,10585151,7972719,5519443,4669211,8037934,6145421,4799796,1082579,263046
2017:Q2,pct60to80,13502056,16825777,4740853,1138231,1607027,4403335,1768099,741873,2426359,3323722,2247685,974947,101090
2017:Q2,pct40to60,7173633,9102157,3012597,772485,629660,2113561,646215,306553,1621086,1928523,1154002,735272,39249
2017:Q2,pct20to40,3885167,4993673,1928300,521669,301023,867178,174349,238222,962932,1108506,586091,488332,34083
2017:Q2,pct00to20,2306112,2956293,1151175,318767,309530,205928,51575,371672,547646,650181,286903,292264,71014
2017:Q3,pct99to100,23072054,24174399,3530343,721081,9734276,336184,1088083,4423203,4341229,1102345,703604,102065,296676
2017:Q3,pct80to99,44533418,50722095,11714001,1770042,10856285,7976278,5687044,4666837,8051608,6188678,4836609,1095224,256845
2017:Q3,pct60to80,13796715,17161007,4837253,1141038,1690859,4454030,1818795,755347,2463685,3364292,2269028,996605,98659
2017:Q3,pct40to60,7275309,9234733,3075529,779323,647335,2136765,675775,312665,1607341,1959424,1165406,754488,39530
2017:Q3,pct20to40,3951526,5080659,1982604,520824,310539,869046,179486,239157,979003,1129133,592904,502602,33627
2017:Q3,pct00to20,2408157,3059053,1209237,317996,323039,215013,51873,372605,569290,650895,287657,298219,65019
2017:Q4,pct99to100,23881593,25009815,3555447,711905,10356548,357226,1110301,4569334,4349054,1128222,707108,95698,325416
2017:Q4,pct80to99,45450888,51700395,11847902,1797287,11321302,7981564,5878118,4731828,8142394,6249507,4869092,1107880,272535
2017:Q4,pct60to80,14163795,17580729,4920783,1153459,1822236,4505932,1879754,778455,2520111,3416934,2289653,1028384,98897
2017:Q4,pct40to60,7404695,9397326,3133787,794298,669357,2160388,709788,320318,1609391,1992632,1176100,777896,38636
2017:Q4,pct20to40,4023794,5180656,2037708,524056,326773,871022,185600,238645,996852,1156863,599099,523152,34612
2017:Q4,pct00to20,2531517,3172995,1269042,319731,338311,224210,52024,373386,596290,641478,287742,297741,55995
2018:Q1,pct99to100,24055009,25200633,3627779,710979,10327088,377593,1090640,4660897,4405657,1145623,709604,87356,348663
2018:Q1,pct80to99,45848001,52118604,12120037,1821922,11288243,7976860,5867008,4750935,8293599,6270604,4889059,1103965,277580
2018:Q1,pct60to80,14412054,17825988,5034025,1166683,1837205,4552271,1851927,795381,2588496,3413934,2294821,1020024,99089
2018:Q1,pct40to60,7525786,9525460,3201464,806971,680194,2182194,708088,327035,1619515,1999674,1179863,780338,39473
2018:Q1,pct20to40,4092067,5254300,2088970,530013,325999,872364,183504,239027,1014423,1162233,604460,521717,36056
2018:Q1,pct00to20,2641905,3285923,1323382,323999,349622,233039,53291,374166,628424,644018,288119,306511,49388
2018:Q2,pct99to100,24382421,25540554,3659832,707189,10518160,398588,1091831,4760890,4404064,1158133,714524,80525,363084
2018:Q2,pct80to99,46261323,52563431,12261747,1847345,11420907,7978856,5957742,4775659,8321175,6302108,4929164,1106323,266621
2018:Q2,pct60to80,14648926,18096367,5100529,1179539,1892250,4602693,1868346,813319,2639690,3447441,2311943,1035732,99766
2018:Q2,pct40to60,7603185,9632447,3246196,820370,694883,2205375,724431,333941,1607250,2029262,1190015,794811,44436
2018:Q2,pct20to40,4139881,5325799,2132343,535000,330935,874131,185516,239233,1028640,1185918,611968,534430,39520
2018:Q2,pct00to20,2748914,3392149,1372388,327384,362492,242183,53984,374869,658848,643235,290180,306367,46688
2018:Q3,pct99to100,25067863,26239194,3688624,701724,11078720,420316,1110214,4831083,4408513,1171331,720089,73550,377692
2018:Q3,pct80to99,46959917,53314617,12392360,1868260,11826794,7989046,6123524,4775302,8339331,6354700,4974953,1119534,260213
2018:Q3,pct60to80,14973393,18466803,5162228,1189083,2014711,4658029,1916730,827923,2698098,3493410,2333500,1061794,98116
2018:Q3,pct40to60,7691431,9756111,3288392,831335,715531,2230206,753876,340378,1596394,2064681,1202345,816997,45339
2018:Q3,pct20to40,4196289,5407930,2174681,538303,345365,876417,190392,239975,1042796,1211640,619992,552112,39536
2018:Q3,pct00to20,2860471,3504592,1420735,329638,377755,251698,54058,375623,695085,644120,292531,310582,41007
2018:Q4,pct99to100,23263488,24440794,3688959,690649,9210164,439255,1004835,4880257,4526675,1177306,723811,67106,386389
2018:Q4,pct80to99,45369433,51737875,12450408,1899619,10407016,7961306,5697183,4757224,8565119,6368442,5005139,1127749,235554
2018:Q4,pct60to80,14623196,18158499,5223813,1203456,1696517,4691804,1708624,840197,2794087,3535303,2345863,1091155,98285
2018:Q4,pct40to60,7665328,9768046,3337386,848839,694517,2247952,678707,346506,1614139,2102717,1209734,839754,53229
2018:Q4,pct20to40,4179882,5423659,2229077,541694,296880,876301,171591,241116,1067001,1243777,626289,573050,44438
2018:Q4,pct00to20,2978913,3621857,1481620,331242,376546,259728,57745,376438,738538,642944,293582,308228,41134
2019:Q1,pct99to100,25597403,26773023,3781571,705541,11057582,463593,1071399,5038679,4654658,1175620,725476,58758,391386
2019:Q1,pct80to99,47822005,54185644,12741790,1917103,11784357,8003218,6115789,4824949,8798438,6363639,5018809,1123539,221291
2019:Q1,pct60to80,15411359,18938470,5282022,1216852,2053985,4765707,1865814,864922,2889168,3527111,2350161,1082684,94266
2019:Q1,pct40to60,7866219,9972056,3361887,855858,739009,2278970,753170,354532,1628630,2105836,1212518,841685,51633
2019:Q1,pct20to40,4294637,5537157,2243070,552422,344712,880603,186805,240140,1089405,1242520,630648,571276,40596
2019:Q1,pct00to20,3085166,3729185,1501283,340153,401967,270587,56702,376747,781746,644019,292994,316545,34480
2019:Q2,pct99to100,26266419,27459008,3823978,706448,11491315,472388,1086304,5224097,4654478,1192589,729476,51288,411825
2019:Q2,pct80to99,48571529,54980016,12902344,1938882,12088496,8041163,6290524,4912234,8806373,6408486,5055550,1131405,221531
2019:Q2,pct60to80,15738267,19314419,5335463,1228772,2155119,4833775,1918425,892703,2950162,3576153,2375784,1106264,94105
2019:Q2,pct40to60,7952552,10091148,3395179,866688,757763,2308687,785133,363003,1614696,2138596,1225411,859718,53467
2019:Q2,pct20to40,4340949,5607057,2275793,558489,355749,884860,192358,238520,1101288,1266107,637009,586744,42354
2019:Q2,pct00to20,3196559,3834660,1540595,344751,416981,276053,57079,376758,822444,638102,293006,316672,28424
2019:Q3,pct99to100,26245037,27447066,3803858,686847,11385249,480878,1079137,5300557,4710540,1202029,734403,43782,423844
2019:Q3,pct80to99,48695056,55152570,12916159,1973173,11996009,8074690,6359622,4912275,8920643,6457514,5097038,1144723,215753
