Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities,share
1993:Q3,age55to69,34.3,31.8,27.1,23.8,39.3,37.5,26.8,34.9,31.5,16,15.1,13.5,39.2,26.752709051049173
1993:Q3,age40to54,34.5,35.6,35.6,34,32.1,40.6,55,38.4,27.7,42.5,44.5,36.4,38.9,55.049545881616034
1993:Q3,ageunder40,11.2,14.9,20.6,29.8,8.2,9.6,17.3,11.7,11.1,38.6,38,48,9.7,17.32734105856561
1993:Q4,age70plus,20.2,17.8,16.8,12.6,20.8,12.4,0.9,15.3,29.6,2.9,2.4,2.2,12.6,0.891524975312326
1993:Q4,age55to69,34.2,31.7,27,23.7,38.8,37.4,26.6,34.7,31.6,16,15.1,13.3,40,26.64373763693584
1993:Q4,age40to54,34.7,35.8,35.8,34,32.5,40.5,54.9,38.7,27.9,42.8,44.9,36.7,38.1,54.92544476267531
1993:Q4,ageunder40,11,14.8,20.5,29.7,8,9.7,17.5,11.3,10.9,38.3,37.6,47.9,9.3,17.539292625076524
1994:Q1,age70plus,20.4,18,17.6,12.8,20.8,12.5,0.9,15.5,29.4,2.7,2.3,1.9,12.1,0.8643806471963914
1994:Q1,age55to69,34,31.5,26.5,23.4,38.3,37.4,26.5,34.5,31.9,15.9,15,12.8,40.5,26.48890130856016
1994:Q1,age40to54,34.7,35.9,35.8,33.7,33.1,40.4,54.9,39,28,43.2,45.3,37.5,38,54.88393064698285
1994:Q1,ageunder40,10.9,14.6,20.1,30,7.8,9.7,17.8,11,10.6,38.1,37.4,47.8,9.4,17.762787397260606
1994:Q2,age70plus,20.5,18,17.7,13,20.9,12.5,0.9,15.7,29.3,2.8,2.4,1.9,11.6,0.9191890128020072
1994:Q2,age55to69,33.9,31.4,26.4,23.4,37.8,37.4,26.4,34.3,32.2,15.8,15,12.6,41.1,26.405777144221034
1994:Q2,age40to54,34.9,36.1,36,33.7,33.6,40.4,54.8,39.3,28.2,43.6,45.7,37.8,37.9,54.7613763548407
