Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2011:Q3,Other,3811266,5196446,1538540,359253,675842,790292,449748,433343,949427,1385179,1072372,281718,31089
2011:Q4,White,55459538,65507346,14927845,3693202,10815187,10126294,5189862,6128897,14626058,10047808,7510659,1937832,599317
2011:Q4,Black,2576056,3551781,932948,304699,156337,1241815,300930,151316,463736,975725,619526,340564,15635
2011:Q4,Hispanic,1333440,2124216,747828,284731,123736,387256,173482,172861,234323,790776,589241,192881,8654
2011:Q4,Other,3901804,5285470,1531072,362066,701561,804651,473308,450723,962089,1383666,1066071,284948,32647
2012:Q1,White,57187364,67229706,14794237,3716938,12211222,10253920,5536801,6160859,14555728,10042342,7483633,1938810,619899
2012:Q1,Black,2648007,3610415,909478,312666,177569,1255486,341478,155906,457832,962409,607008,340266,15135
2012:Q1,Hispanic,1335031,2100611,735542,281316,132376,374371,177033,170969,229004,765580,570586,186257,8737
2012:Q1,Other,4024857,5390429,1515322,368119,778718,821858,510633,450307,945472,1365573,1056047,279708,29818
2012:Q2,White,57220122,67254026,14935239,3733638,11837074,10329155,5458709,6248636,14711575,10033904,7438697,1981069,614138
2012:Q2,Black,2634184,3597056,905131,309434,180111,1262756,325965,162240,451418,962872,604765,344089,14018
2012:Q2,Hispanic,1305577,2056411,734257,277813,130095,358411,162858,172135,220842,750834,558944,183670,8220
2012:Q2,Other,4046138,5404566,1548947,368209,728996,830260,501066,458395,968693,1358428,1047326,281640,29462
2012:Q3,White,58888894,68925094,15121595,3749792,12597482,10433072,5657325,6434409,14931419,10036200,7386241,2029822,620137
2012:Q3,Black,2666730,3644345,906061,307651,195026,1273615,347522,171721,442750,977615,614181,350275,13159
2012:Q3,Hispanic,1297126,2045658,740184,274169,134599,343937,159686,178884,214198,748532,555586,184925,8021
2012:Q3,Other,4167527,5522899,1588203,369123,759273,843696,521863,481816,958925,1355372,1041664,285431,28277
2012:Q4,White,59607204,69657049,15270464,3775417,12700426,10518972,5714932,6571164,15105675,10049845,7371325,2087927,590593
2012:Q4,Black,2716593,3681401,904789,308669,203082,1283079,351013,179949,450821,964808,597952,356106,10750
2012:Q4,Hispanic,1310004,2031073,745086,271576,135243,328588,151077,182917,216586,721070,535008,179204,6858
2012:Q4,Other,4262527,5613922,1621698,371824,743127,854652,528291,498081,996248,1351395,1032786,289667,28942
2013:Q1,White,61992449,71961949,15584045,3792991,14227161,10817627,5988576,6684134,14867416,9969500,7269703,2087652,612145
2013:Q1,Black,2798507,3801489,923184,313486,227081,1318808,384276,187758,446896,1002982,636312,356145,10525
2013:Q1,Hispanic,1317728,2060063,775732,268098,143986,325142,150458,185761,210885,742335,550813,184390,7132
2013:Q1,Other,4504869,5848809,1675572,376378,826257,901942,557396,511156,1000107,1343940,1031259,285586,27095
2013:Q2,White,62671631,72666426,15946849,3801891,14415594,11069133,6043221,6930371,14459367,9994795,7235057,2130962,628776
2013:Q2,Black,2866125,3877686,943630,311798,237026,1351575,388611,200184,444861,1011561,641603,359605,10353
2013:Q2,Hispanic,1347972,2082743,802757,264553,145362,326760,141542,196679,205090,734771,545333,182052,7386
2013:Q2,Other,4667097,6008893,1744807,377402,815989,960600,564065,546221,999809,1341795,1027929,287574,26292
2013:Q3,White,64612082,74641276,16332052,3821127,15183469,11336289,6286355,7194598,14487385,10029194,7228098,2185023,616073
2013:Q3,Black,2964738,3994531,964996,307450,253937,1388712,420714,213794,444928,1029793,652571,368629,8593
2013:Q3,Hispanic,1386141,2121392,826324,262949,150067,329918,139922,209227,202985,735251,545198,183474,6579
2013:Q3,Other,4915237,6264007,1824933,377411,846558,1023475,591498,585624,1014507,1348770,1030412,293171,25187
2013:Q4,White,66250019,76411203,16592217,3824503,16043743,11580613,6564869,7372219,14433039,10161184,7203611,2213503,744070
2013:Q4,Black,3083497,4130763,992211,312361,259475,1422218,458467,214902,471130,1047267,652753,381082,13432
2013:Q4,Hispanic,1505065,2257075,851456,265408,171651,365630,167122,208850,226957,752010,548577,192489,10944
2013:Q4,Other,5109515,6469647,1863718,377301,893742,1086224,630175,589519,1028968,1360132,1032109,303394,24629
2014:Q1,White,67636204,77769509,16806345,3817696,16843167,11624368,6619245,7419894,14638795,10133306,7171800,2200008,761498
2014:Q1,Black,3173293,4223331,1020503,321231,264985,1434391,465198,212407,504615,1050038,644900,390857,14281
2014:Q1,Hispanic,1620252,2377778,881907,267053,193259,391477,186089,201571,256422,757526,546403,199004,12119
2014:Q1,Other,5253625,6620461,1893571,379029,938161,1117824,646125,573953,1071797,1366836,1031313,306973,28550
