Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1998:Q4,Next40,12760461,15327465,4828374,1221204,1365318,3246934,1526913,763459,2375263,2567005,1944719,523149,99137
1998:Q4,Bottom50,1268855,3200806,1501633,641193,136942,211606,215995,94895,398541,1931951,1110094,762257,59600
1999:Q1,TopPt1,4181294,4246002,304499,150039,1645357,26052,52797,919858,1147401,64708,24848,3533,36327
1999:Q1,RemainingTop1,6065453,6306466,854211,220678,2211933,220276,342433,1136764,1320170,241012,173192,14947,52873
1999:Q1,Next9,13028037,14108416,2803918,612410,2879724,2838726,1206939,1430924,2335775,1080378,817955,136198,126225
1999:Q1,Next40,12962255,15575322,4929124,1232322,1394405,3293283,1558821,776346,2391020,2613066,1988649,524651,99766
1999:Q1,Bottom50,1283981,3237894,1533183,645858,135047,211637,219540,91646,400983,1953913,1132032,763069,58812
1999:Q2,TopPt1,4293837,4355622,316871,154121,1760650,26448,54505,931504,1111523,61785,24146,3305,34334
1999:Q2,RemainingTop1,6315153,6563163,889719,236194,2407167,227645,348991,1163435,1290011,248010,179690,15512,52808
1999:Q2,Next9,13440856,14547856,2892102,608076,3131340,2886974,1281785,1442470,2305110,1107001,829360,136856,140785
1999:Q2,Next40,13243209,15930886,5036044,1248983,1501751,3345305,1623846,790118,2384840,2687677,2039319,538157,110201
1999:Q2,Bottom50,1270595,3270284,1542918,657496,141005,211730,226588,89101,401446,1999689,1160683,777751,61255
1999:Q3,TopPt1,4195105,4252977,326517,143673,1616501,26733,50903,979322,1109329,57872,23664,3137,31071
1999:Q3,RemainingTop1,6255297,6513655,920976,254256,2267604,234443,340341,1204284,1291751,258358,186925,15958,55475
1999:Q3,Next9,13429525,14563775,2952272,617512,3010413,2922296,1252915,1489767,2318601,1134250,852991,138464,142795
1999:Q3,Next40,13326576,16086951,5171438,1267764,1484262,3384837,1568622,805597,2404430,2760375,2095037,556746,108592
1999:Q3,Bottom50,1266837,3316714,1588637,667528,135026,211678,220813,87392,405641,2049877,1192608,797590,59679
1999:Q4,TopPt1,4575010,4630785,338836,147512,1961490,27221,55594,995624,1104508,55775,23290,3098,29387
1999:Q4,RemainingTop1,6877087,7139175,958183,269384,2767144,242765,356806,1233612,1311281,262089,193303,16153,52633
1999:Q4,Next9,14355294,15546070,3044119,612911,3601018,2988370,1399878,1507963,2391811,1190776,882393,140433,167950
