Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2017:Q1,Other,8769205,3035818,2614714,421104,5733387,914639,97384,168867,168867,0,100443,77897,22547,1268638,104195,232701,616222,1422700,703419,104179,1690728,1688473,1179493,421726,16577,70675,2256,7078476,13425317
2017:Q2,White,89148860,24344566,20284965,4059601,64804294,7888853,1287899,3014841,3014841,0,758696,689024,69671,20784675,1313002,1575533,5767117,12117271,9428084,868323,10241626,10214561,7183173,2393885,185164,452339,27066,78907234,81404673
2017:Q2,Black,5558349,1906023,1489842,416181,3652327,428822,37864,123026,123026,0,1780,1580,200,296278,115739,251276,371556,1666159,248382,111445,1284786,1282370,716080,550859,11082,4349,2416,4273563,18725857
2017:Q2,Hispanic,3846291,1687527,1347115,340412,2158763,344629,12793,28915,28915,0,5712,5261,451,336418,54329,128215,263597,687918,230945,65292,995064,993880,669080,303834,14769,6197,1183,2851227,12980308
2017:Q2,Other,9116349,3149452,2724903,424549,5966897,928348,95776,176386,176386,0,100395,78389,22006,1387715,111528,228053,644303,1406751,781029,106613,1725757,1723321,1205641,434180,16941,66559,2436,7390592,13536597
2017:Q3,White,90472128,24685481,20614458,4071023,65786647,7907077,1342469,2933600,2933600,0,748068,679732,68337,21420690,1317256,1603217,5935574,12212915,9476721,889060,10317420,10290475,7216331,2430226,183578,460340,26945,80154708,81430432
2017:Q3,Black,5656278,1928659,1518302,410357,3727619,434170,37597,112795,112795,0,1762,1531,231,303608,120747,256684,406923,1690759,248095,114479,1303504,1301023,724977,561873,9676,4497,2481,4352774,18792174
2017:Q3,Hispanic,3864618,1720242,1377610,342632,2144377,334707,13040,27359,27359,0,5196,4574,622,320176,52733,129330,269077,693507,231521,67732,1010480,1009336,680236,308453,14648,5999,1143,2854139,12995408
2017:Q3,Other,9438921,3264890,2838598,426292,6174031,956020,98747,166896,166896,0,99956,78887,21069,1517858,119578,223549,676703,1390135,813477,111112,1763363,1760776,1233664,448651,15353,63108,2588,7675558,13649147
2017:Q4,White,92552830,25003876,20888205,4115671,67548954,8003800,1412901,2950602,2950602,0,705004,636923,68081,22522734,1322110,1636906,6131070,12315607,9652859,895361,10435491,10408759,7244826,2480136,186670,497127,26732,82117339,81498849
2017:Q4,Black,5761174,1942525,1535938,406586,3818649,444417,37220,105333,105333,0,1061,782,279,315585,125632,262819,446520,1713273,251626,115163,1322722,1320200,732990,572269,9214,5727,2522,4438452,18833136
2017:Q4,Hispanic,3884375,1743223,1395121,348102,2141152,328544,13280,26508,26508,0,4264,3454,810,305710,51055,130627,275133,698123,239173,68735,1025634,1024538,690121,312659,15147,6610,1097,2858741,12991664
2017:Q4,Other,9843538,3375781,2945406,430375,6467756,994064,102621,167356,167356,0,97561,77387,20174,1690497,127766,220002,712507,1373339,868308,113737,1801787,1799057,1260857,465688,14685,57827,2730,8041750,13762809
2018:Q1,White,93338119,25477284,21314017,4163268,67860835,8229759,1386258,3007025,3007025,0,695504,627909,67595,22444833,1323075,1635061,6081960,12409267,9745086,903007,10466238,10437866,7260738,2468119,191630,517379,28372,82871881,81613680
2018:Q1,Black,5828726,1979405,1572028,407376,3849321,463155,36237,98503,98503,0,1072,745,326,313483,129751,261196,447237,1731117,251763,115807,1321273,1318342,730709,572243,9073,6318,2931,4507453,18846888
