Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
1998:Q1,pct20to40,2922336,1237981,953854,284128,1684355,399817,55030,99324,72033,27291,11133,2982,8150,259306,46201,16147,60748,520777,181395,34478,406718,405432,241117,154739,1686,7890,1286,2515618,20397973,,
1998:Q1,pct00to20,1330758,639893,501155,138738,690865,177375,20227,40585,25799,14786,12167,10581,1586,72544,19374,2460,14016,192136,122062,17918,178087,177558,83992,89778,792,2996,529,1152671,20382902,,
1998:Q2,pct99to100,7526081,1185555,923851,261705,6340526,353936,240230,929613,686686,242926,132993,118121,14872,2799821,56036,18748,279375,181469,1322824,25482,356471,354841,231978,20311,5211,97341,1630,7169610,1022788,,
1998:Q2,pct80to99,17620396,4924576,3894642,1029935,12695820,1129223,323863,747931,524424,223507,118699,89106,29593,3569298,326703,363503,1356493,2674952,1952602,132553,2378806,2369825,1781762,418564,13983,155517,8981,15241590,19430222,,
1998:Q2,pct60to80,7650487,2738270,2122248,616022,4912216,507078,115539,205694,137500,68194,30758,9170,21588,845298,155455,232189,516721,1808577,416739,78168,1479003,1474745,1036980,387693,5699,44373,4258,6171484,20448074,,
1998:Q2,pct40to60,4329093,1760292,1329014,431278,2568801,397381,49217,112499,89250,23249,39849,27686,12163,364197,83110,76561,206237,901030,287310,51409,810427,808204,508024,289676,3567,6938,2222,3518667,20450940,,
1998:Q2,pct20to40,2961409,1254008,965737,288272,1707401,405021,56083,104059,73102,30957,11730,3350,8380,264967,45983,16781,58559,524004,185943,34270,414559,413289,244418,160951,1450,6470,1270,2546850,20457833,,
1998:Q2,pct00to20,1345029,648117,507574,140543,696912,180247,20989,47610,30857,16753,13730,12486,1244,73956,19518,2301,13565,190964,116246,17785,179390,178860,84976,90549,628,2707,531,1165639,20442293,,
1998:Q3,pct99to100,7133948,1164058,917733,246324,5969891,348505,272308,968269,728401,239868,157072,143404,13667,2362513,49812,18422,249816,189610,1328057,25508,360676,359502,236687,20885,5688,96241,1174,6773273,1025701,355527,2110767104
1998:Q3,pct80to99,17377265,4973715,3919163,1054551,12403550,1131173,345212,758141,543910,214231,128269,99649,28619,3251233,333568,350166,1265446,2719540,1986602,134200,2420028,2411047,1816369,425255,15770,153654,8981,14957237,19486773,68211,355291
