Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities,share
1992:Q4,pct40to60,11.9,12.2,14,15.8,6.6,15.1,6.3,9,12.6,14.1,12.5,21.2,8.4,6.2943945794040435
1992:Q4,pct20to40,7.4,7.4,10.2,10.1,3.4,8.1,2.1,2.9,7.8,7.1,5.5,13.5,4.4,2.121625594910823
1992:Q4,pct00to20,3.6,3.5,5.5,4.7,1.3,3.2,0.4,2.2,3.2,3,2.1,6.6,1.6,0.43276352107967064
1993:Q1,pct99to100,17.2,15.8,9.1,11.2,32.2,2.8,11.9,31.9,19.5,6.4,6.1,1.9,28.3,11.93713986797065
1993:Q1,pct80to99,42.8,43.1,41.9,36.1,45.8,45,58.4,41.7,41,45,49,30.9,45.6,58.4266668257861
1993:Q1,pct60to80,17.5,18.4,20.3,22.3,10.8,25.6,20.1,12.2,15.9,24.3,24.7,26.1,11.7,20.11965781365921
1993:Q1,pct40to60,11.7,12,13.7,15.3,6.5,15.2,6.7,8.7,12.5,14,12.4,21,7.9,6.66584454959587
1993:Q1,pct20to40,7.3,7.3,9.9,10.2,3.4,8.2,2.3,3,7.9,7.1,5.6,12.9,5,2.3144584535845296
1993:Q1,pct00to20,3.5,3.4,5.2,4.9,1.3,3.2,0.5,2.5,3.2,3.2,2.2,7.2,1.4,0.5362324894036403
1993:Q2,pct99to100,17.2,15.7,9,11.1,32.1,2.7,11.8,31.7,19.8,6.3,6.1,1.8,27.7,11.8473407726653
1993:Q2,pct80to99,42.7,43,41.5,36.1,45.8,45.3,58.2,41.7,40.8,44.9,48.7,31.5,45.2,58.2024127213869
1993:Q2,pct60to80,17.4,18.4,20.5,22.5,10.9,25.3,19.9,12.1,15.8,24.4,24.9,25.8,12,19.857201010577462
1993:Q2,pct40to60,11.7,12,13.7,15.3,6.4,15.3,6.9,8.5,12.4,13.9,12.4,20.9,7.9,6.94642776374198
1993:Q2,pct20to40,7.4,7.4,10,10.2,3.5,8.3,2.5,3.1,8.1,7.2,5.8,12.6,5.6,2.4929085117243783
1993:Q2,pct00to20,3.5,3.5,5.3,4.9,1.3,3.2,0.7,2.8,3.2,3.3,2.2,7.5,1.6,0.6537092199039822
1993:Q3,pct99to100,17.3,15.8,8.9,10.9,32.4,2.7,11.7,31.7,20.1,6.3,6.1,1.7,27.8,11.742241313973496
1993:Q3,pct80to99,42.5,42.8,41,36.2,45.5,45.5,58,41.7,40.5,44.7,48.3,31.9,45.8,57.97234076270544
1993:Q3,pct60to80,17.4,18.4,20.7,22.6,11,24.9,19.6,12,15.8,24.6,25.2,25.7,11.8,19.645023711228493
