Date,age40to54,age55to69,age70plus,ageunder40,College,HS,NoHS,SomeCollege,BabyBoom,GenX,Millennial,Silent,incpct00to20,incpct20to40,incpct40to60,incpct60to80,incpct80to99,incpct99to100,Bottom50,Next40,Next9,RemainingTop1,TopPt1,Black,Hispanic,Other,White
2016:Q1,20280250,39313239,21394791,4858869,59769046,9777831,2796946,13503326,47711096,14533741,2514499,21087814,1953172,3649499,6673737,12433101,40788512,20349128,1138566,25500028,33143301,15320160,10745095,3811385,2549237,6253860,73232667
2016:Q2,20402136,39963789,22075278,4848888,61014640,9712492,2931114,13631844,48506377,14901134,2758784,21123796,1964339,3660080,6751809,12530320,41504231,20879311,1142222,25805870,33704632,15635197,11002170,3918512,2680033,6409045,74282501
2016:Q3,20627174,40738670,22540548,4872953,62251892,9618179,3052577,13856697,49617771,15184565,2829053,21147956,2008464,3718956,6898992,12689774,42155278,21307882,1208179,26190015,34229574,15968211,11183366,4000099,2784908,6585226,75409112
2016:Q4,20958746,40799657,22632450,4872261,62571823,9589345,3023350,14078596,49687651,15936267,2894881,20744315,2102021,3758968,6949679,12824455,42306225,21321766,1263660,26441376,34430727,16016209,11111141,4048877,2785655,6743126,75685456
2017:Q1,21733961,41675778,23213244,5020340,64334676,9763416,3016403,14528828,50666542,17203539,3110942,20662300,2197208,3835361,7078022,13208502,43254361,22069869,1366960,27040528,35330424,16502472,11402938,4183295,2828325,7078476,77553227
2017:Q2,22379363,42313352,23599633,5130268,65662115,9867846,2981474,14911180,51366651,18317340,3263765,20474860,2306112,3885167,7173633,13502056,43923012,22632637,1431157,27472943,36025218,16835013,11658284,4273563,2851227,7390592,78907234
2017:Q3,22973334,42877815,23958996,5227035,66838484,9982636,2938850,15277209,52012354,19383579,3393156,20248090,2408157,3951526,7275309,13796715,44533418,23072054,1493433,27947106,36663610,17145805,11787224,4352774,2854139,7675558,80154708
2017:Q4,23772456,43826130,24492089,5365607,68667913,10167281,2888877,15732211,53085471,20678733,3550891,20141187,2531517,4023794,7404695,14163795,45450888,23881593,1566159,28486264,37585760,17698872,12119227,4438452,2858741,8041750,82117339
2018:Q1,24194677,44071781,24794475,5513888,69422299,10285953,2828858,16037712,53453996,21606197,3748757,19765872,2641905,4092067,7525786,14412054,45848001,24055009,1683099,28917974,38015549,17826910,12131291,4507453,2877726,8317762,82871881
2018:Q2,24625987,44445420,25113524,5599718,70299909,10400621,2743329,16340790,53910846,22563321,3876986,19433496,2748914,4139881,7603185,14648926,46261323,24382421,1740982,29261536,38514352,18030942,12236837,4543478,2851877,8576865,83812430
2018:Q3,25219706,45197052,25634480,5698125,71770358,10622104,2648735,16708167,54772693,23743183,4005994,19227494,2860471,4196289,7691431,14973393,46959917,25067863,1778053,29711496,39285781,18461372,12512662,4582492,2816496,8894987,85455390
2018:Q4,24350536,43362759,24804957,5561989,68880234,10315014,2477091,16407902,52952755,23143045,3931821,18052621,2978913,4179882,7665328,14623196,45369433,23263488,1771055,29302079,38062090,17339699,11605318,4427478,2712217,8742318,82198228
2019:Q1,25946651,45780555,26406465,5943116,73412685,11002217,2429135,17232751,55592996,25630521,4420127,18433144,3085166,4294637,7866219,15411359,47822005,25597403,1913348,30448310,40287915,18789533,12637683,4608146,2764524,9419105,87285013
2019:Q2,26547189,46464384,26976292,6078410,74829075,11364790,2304760,17567650,56353970,26921148,4670897,18120260,3196559,4340949,7952552,15738267,48571529,26266419,1944457,30893521,41118349,19171150,12938799,4623140,2721857,9760639,88960639
