Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities,share
2001:Q2,BabyBoom,41.8,44,45.6,46.3,37.6,50.4,60.6,42.5,34.8,56.7,59.5,52.4,38.3,60.614583223294105
2001:Q2,GenX,6.2,8.5,11.4,16.7,7,3.9,9.4,5.7,7.4,22.3,20.6,31.3,3.2,9.370004798173692
2001:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001:Q3,Silent,52,47.4,42.4,36.7,57.4,45,30.9,51.6,57.1,21,19.4,15.6,60.3,30.884738852535282
2001:Q3,BabyBoom,42.4,44.4,46.2,46.3,37,51.1,62.1,42.7,35.3,55.8,58.6,52.6,35.8,62.05108707548669
2001:Q3,GenX,5.6,8.2,11.4,16.8,5.6,3.9,7.1,5.7,7.6,23,21.8,31.4,3.8,7.062093660140907
2001:Q3,Millennial,0,0.1,0.1,0.2,0,0,0,0,0.1,0.2,0.2,0.4,0,0.0020804118371212407
2001:Q4,Silent,51.3,46.7,41.8,36.3,55.3,44.7,29.6,51.1,56.8,19.9,18.6,15.9,57.5,29.627979294260413
2001:Q4,BabyBoom,42.5,44.6,46.2,46.3,38.1,51.3,62.3,43.4,35.3,57,60.2,51.5,39.3,62.26626606611059
2001:Q4,GenX,6.1,8.6,11.9,17.1,6.6,4,8.1,5.5,7.8,22.9,21,32,3.2,8.094435318121775
2001:Q4,Millennial,0,0.1,0.1,0.3,0,0,0,0,0.1,0.2,0.1,0.5,0,0.01131932150722799
2002:Q1,Silent,50.8,46.2,41.2,36,54.8,44.6,28.8,50.2,56.6,19.5,18.2,15.9,56.4,28.822364966087587
2002:Q1,BabyBoom,42.8,44.9,46.2,46.3,38.7,51.4,62.5,44,35.3,56.5,59.4,51.1,40.5,62.49296245408375
2002:Q1,GenX,6.3,8.9,12.5,17.4,6.5,4.1,8.7,5.7,8,23.8,22.2,32.4,3.1,8.663326864681803
