Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2017:Q3,NoHS,3552898,1558876,1189789,369087,1994022,297968,15596,44906,44906,0,1685,1100,585,248907,54771,123857,240604,665859,222385,77484,614048,612901,405063,188454,15017,4366,1147,2938850,16200929
2017:Q4,College,77369266,19610510,16889157,2721353,57758756,6816577,1269247,2539716,2539716,0,610943,548136,62806,20862242,1091649,1248200,5314004,9135263,8276996,593919,8701353,8679510,6085215,1985766,125850,482680,21843,68667913,44505634
2017:Q4,SomeCollege,18831696,6256446,4995944,1260502,12575250,1609819,184943,485685,485685,0,119506,101894,17612,2319994,278509,550930,1207366,4042572,1496641,279284,3099485,3093574,1961992,1034731,43978,52873,5911,15732211,35539211
2017:Q4,HS,12332198,4639150,3682915,956235,7693048,1048941,96445,179441,179441,0,75877,67672,8205,1392502,203064,336013,813146,2289354,1016120,242144,2164917,2160695,1478284,617049,40559,24804,4222,10167281,30906715
2017:Q4,NoHS,3508757,1559299,1196654,362645,1949459,295486,15386,44957,44957,0,1564,844,720,259789,53340,115211,230713,633153,222209,77650,619881,618775,403304,193207,15330,6935,1106,2888877,16134898
2018:Q1,College,78176816,20060081,17306765,2753317,58116734,7026107,1246387,2582210,2582210,0,594228,533147,61081,20824011,1101545,1245629,5305866,9222208,8366357,602187,8754517,8730848,6114149,1993724,127775,495200,23669,69422299,44829874
2018:Q1,SomeCollege,19143587,6406660,5128299,1278361,12736926,1677839,180502,493007,493007,0,121553,103460,18093,2329818,280064,549511,1192688,4101084,1524933,285927,3105875,3099701,1965150,1033173,44390,56988,6174,16037712,35733196
2018:Q1,HS,12448757,4722523,3754705,967818,7726234,1073052,95069,183575,183575,0,79944,71852,8092,1400279,204317,334932,806063,2273333,1036370,239299,2162804,2158266,1487770,603895,43184,23417,4538,10285953,30731980
2018:Q1,NoHS,3441748,1566957,1205886,361072,1874790,294318,13908,44359,44359,0,1530,701,829,254243,51571,104504,215264,597698,219782,77613,612890,611750,398856,189119,15549,8225,1140,2828858,16010666
2018:Q2,College,79133795,20346742,17561013,2785730,58787052,6936781,1278205,2686025,2686025,0,583489,524471,59018,21134882,1115855,1255696,5408015,9314103,8466340,607661,8833886,8810303,6167704,2014145,137288,491166,23583,70299909,45152452
